AusweisNr,Geschlecht,Veranstaltung,Bundesland,Inhalt,Kompetenz,Schwierigkeitsgrad,Empfohlen,AlterInJahren,Lehrabschluss,Matura,WG
60,Frau,Übung,Steiermark,2,7,7,True,28,False,True,False
61,Mann,Vorlesung,Wien,9,8,0,True,29,True,True,True
62,Mann,Vorlesung,Steiermark,10,3,2,False,27,True,True,False
63,Frau,Übung,Steiermark,10,10,5,True,25,True,False,False
64,Frau,Übung,Steiermark,8,0,7,True,27,True,False,False
65,Frau,Vorlesung,Wien,9,5,8,True,22,False,False,False
66,Mann,Vorlesung,Kärnten,10,7,7,True,24,False,True,True
67,Mann,Projekt,Kärnten,3,8,7,False,30,False,True,False
68,Frau,Projekt,Steiermark,7,10,7,False,24,False,True,True
69,Frau,Übung,Steiermark,8,10,5,True,23,True,False,False
70,Frau,Übung,Wien,3,8,7,False,30,False,True,False
71,Mann,Vorlesung,Wien,7,10,6,True,23,True,True,True
72,Mann,Vorlesung,Steiermark,8,10,7,True,25,True,False,False
73,Frau,Projekt,Kärnten,2,7,3,True,24,False,True,True
74,Mann,Übung,Kärnten,9,8,2,True,31,True,True,True
75,Frau,Übung,Steiermark,10,3,4,False,29,True,True,False
76,Frau,Vorlesung,Wien,10,10,9,True,29,True,False,False
77,Frau,Vorlesung,Steiermark,8,0,4,False,24,False,False,True
78,Mann,Projekt,Steiermark,9,8,9,False,26,False,True,True
79,Frau,Übung,Steiermark,10,3,10,False,23,True,True,False
80,Frau,Übung,Wien,10,10,3,True,23,True,False,False
81,Mann,Übung,Kärnten,8,0,9,True,29,True,False,False
82,Mann,Übung,Kärnten,9,5,8,True,22,False,False,False
83,Frau,Vorlesung,Steiermark,2,7,8,False,29,True,True,False
84,Frau,Vorlesung,Steiermark,9,8,1,False,30,False,True,False
85,Frau,Projekt,Wien,10,3,9,True,22,False,True,False
86,Mann,Vorlesung,Wien,10,10,0,False,20,False,False,True
87,Mann,Vorlesung,Steiermark,8,0,10,False,30,False,False,False
88,Frau,Projekt,Kärnten,9,5,7,False,21,True,False,False
89,Frau,Übung,Kärnten,10,7,8,False,25,True,True,True
90,Frau,Übung,Steiermark,3,8,7,False,30,False,True,False
91,Mann,Vorlesung,Steiermark,7,10,7,False,24,False,True,True
92,Mann,Vorlesung,Steiermark,8,10,5,True,23,True,False,False
93,Frau,Projekt,Wien,3,8,8,True,31,True,True,True
94,Frau,Übung,Kärnten,7,10,9,False,26,False,True,True
95,Frau,Übung,Wien,8,10,0,False,30,False,False,False
96,Mann,Vorlesung,Kärnten,9,5,3,False,29,True,False,False
97,Mann,Vorlesung,Kärnten,10,7,4,False,21,True,True,True
98,Frau,Projekt,Steiermark,3,8,0,True,23,True,True,False
99,Frau,Übung,Steiermark,7,10,6,True,23,True,True,False
100,Frau,Übung,Steiermark,8,10,3,True,21,True,False,False
101,Mann,Vorlesung,Steiermark,3,8,6,True,29,True,True,False
102,Mann,Vorlesung,Wien,7,10,9,False,26,False,True,True
103,Frau,Projekt,Kärnten,8,10,4,False,22,False,False,False
104,Frau,Übung,Kärnten,2,7,9,True,30,False,True,False
105,Frau,Übung,Steiermark,9,8,6,True,23,True,True,False
106,Mann,Übung,Wien,10,3,4,False,29,True,True,True
107,Mann,Vorlesung,Steiermark,10,10,7,True,27,True,False,False
108,Frau,Vorlesung,Steiermark,8,0,2,False,22,False,False,False
109,Frau,Projekt,Steiermark,9,8,6,True,23,True,True,False
110,Frau,Übung,Wien,10,3,6,False,31,True,True,True
111,Mann,Vorlesung,Kärnten,10,10,1,True,21,True,False,False
112,Mann,Vorlesung,Kärnten,8,0,9,True,29,True,False,False
113,Frau,Projekt,Steiermark,9,5,4,True,30,False,False,False
114,Frau,Übung,Steiermark,2,7,2,False,23,True,True,False
115,Frau,Übung,Wien,9,8,2,True,31,True,True,True
116,Mann,Vorlesung,Steiermark,10,3,6,False,31,True,True,False
117,Mann,Vorlesung,Steiermark,10,10,2,False,22,False,False,False
118,Frau,Projekt,Wien,8,0,9,True,29,True,False,False
119,Frau,Übung,Kärnten,9,5,8,True,22,False,False,False
120,Frau,Übung,Steiermark,10,7,7,True,24,False,True,True
121,Mann,Vorlesung,Steiermark,3,8,6,True,29,True,True,False
122,Mann,Vorlesung,Wien,7,10,7,False,24,False,True,True
123,Frau,Projekt,Kärnten,8,10,3,True,21,True,False,False
124,Frau,Übung,Steiermark,3,8,5,False,28,False,True,False
125,Frau,Übung,Wien,7,10,1,False,30,False,True,False
126,Mann,Vorlesung,Kärnten,8,10,9,True,27,True,False,False
127,Mann,Vorlesung,Kärnten,10,10,9,True,29,True,False,False
128,Frau,Projekt,Steiermark,8,0,3,True,23,True,False,False
129,Frau,Übung,Steiermark,9,5,5,False,31,True,False,False
130,Mann,Übung,Wien,10,7,4,False,21,True,True,True
131,Frau,Vorlesung,Wien,3,8,3,False,26,False,True,True
132,Frau,Vorlesung,Steiermark,7,10,4,True,21,True,True,False
133,Frau,Projekt,Kärnten,8,10,10,False,28,False,False,False
134,Mann,Übung,Kärnten,3,8,5,False,28,False,True,False
135,Frau,Übung,Steiermark,7,10,6,True,23,True,True,False
136,Mann,Vorlesung,Wien,8,10,2,False,20,False,False,True
137,Mann,Vorlesung,Steiermark,9,5,8,True,22,False,False,False
138,Frau,Projekt,Steiermark,10,7,9,True,26,False,True,True
139,Frau,Übung,Steiermark,3,8,5,False,28,False,True,False
140,Frau,Übung,Wien,7,10,8,True,25,True,True,True
141,Mann,Vorlesung,Kärnten,8,10,1,True,31,True,False,False
142,Mann,Vorlesung,Kärnten,3,8,5,False,28,False,True,False
143,Frau,Projekt,Steiermark,7,10,8,True,25,True,True,False
144,Frau,Übung,Steiermark,8,10,0,False,30,False,False,False
145,Mann,Übung,Wien,2,7,6,False,27,True,True,True
146,Frau,Vorlesung,Wien,9,8,6,True,23,True,True,True
147,Frau,Vorlesung,Steiermark,10,3,8,False,21,True,True,False
148,Frau,Projekt,Kärnten,10,10,10,False,30,False,False,False
149,Mann,Übung,Kärnten,8,0,8,False,28,False,False,False
150,Frau,Übung,Wien,9,8,5,False,22,False,True,False
151,Mann,Vorlesung,Wien,10,3,2,False,27,True,True,True
152,Mann,Vorlesung,Steiermark,10,10,6,False,26,False,False,True
153,Frau,Projekt,Kärnten,8,0,7,True,27,True,False,False
154,Frau,Übung,Kärnten,9,5,1,False,27,True,False,False
155,Frau,Übung,Steiermark,2,7,1,True,22,False,True,False
156,Mann,Übung,Kärnten,9,8,10,True,27,True,True,True
157,Mann,Vorlesung,Kärnten,10,3,1,True,26,False,True,True
158,Frau,Vorlesung,Steiermark,10,10,2,False,22,False,False,False
159,Frau,Projekt,Steiermark,8,0,7,True,27,True,False,False
160,Frau,Übung,Wien,9,5,2,True,28,False,False,False
161,Mann,Vorlesung,Wien,10,7,2,False,31,True,True,True
162,Mann,Vorlesung,Steiermark,3,8,0,True,23,True,True,False
163,Frau,Projekt,Kärnten,7,10,9,False,26,False,True,True
164,Frau,Übung,Kärnten,8,10,3,True,21,True,False,False
165,Frau,Übung,Steiermark,3,8,1,False,24,False,True,True
166,Mann,Vorlesung,Wien,7,10,2,True,31,True,True,True
167,Mann,Vorlesung,Steiermark,8,10,7,True,25,True,False,False
168,Frau,Projekt,Steiermark,6,9,5,True,20,False,True,True
169,Mann,Übung,Steiermark,7,10,0,True,29,True,True,False
170,Frau,Übung,Wien,6,10,2,False,30,False,False,False
171,Frau,Übung,Kärnten,5,4,7,False,28,False,True,False
172,Frau,Übung,Kärnten,8,8,5,True,21,True,False,False
173,Mann,Vorlesung,Steiermark,9,5,3,False,29,True,False,False
174,Frau,Vorlesung,Wien,10,7,0,False,29,True,True,True
175,Frau,Projekt,Wien,3,8,8,True,31,True,True,True
176,Mann,Vorlesung,Steiermark,7,10,5,False,22,False,True,False
177,Mann,Vorlesung,Kärnten,8,10,7,True,25,True,False,False
178,Frau,Projekt,Kärnten,2,7,8,False,29,True,True,True
179,Frau,Übung,Steiermark,9,8,4,True,21,True,True,False
180,Frau,Übung,Steiermark,10,3,6,False,31,True,True,False
181,Mann,Vorlesung,Wien,10,10,2,False,22,False,False,False
182,Mann,Vorlesung,Steiermark,8,0,6,False,26,False,False,True
183,Frau,Projekt,Steiermark,9,5,9,False,23,True,False,False
184,Frau,Übung,Steiermark,10,7,2,False,31,True,True,False
185,Frau,Übung,Wien,3,8,3,False,26,False,True,True
186,Mann,Vorlesung,Kärnten,7,10,3,False,20,False,True,True
187,Mann,Vorlesung,Kärnten,8,10,9,True,27,True,False,False
188,Frau,Übung,Steiermark,2,7,6,False,27,True,True,False
189,Frau,Übung,Steiermark,10,7,2,False,31,True,True,False
190,Mann,Vorlesung,Wien,3,8,8,True,31,True,True,True
191,Frau,Vorlesung,Wien,7,10,4,True,21,True,True,True
192,Frau,Projekt,Steiermark,8,10,9,True,27,True,False,False
193,Frau,Projekt,Kärnten,2,7,8,False,29,True,True,True
194,Mann,Übung,Kärnten,9,8,7,False,24,False,True,True
195,Frau,Übung,Steiermark,10,3,6,False,31,True,True,False
196,Mann,Vorlesung,Wien,10,10,4,False,24,False,False,True
197,Mann,Vorlesung,Wien,8,0,5,True,25,True,False,False
198,Frau,Projekt,Steiermark,9,5,9,False,23,True,False,False
199,Frau,Übung,Kärnten,10,7,8,False,25,True,True,True
200,Frau,Übung,Kärnten,3,8,6,True,29,True,True,True
201,Mann,Vorlesung,Steiermark,7,10,5,False,22,False,True,False
202,Mann,Vorlesung,Kärnten,8,10,8,False,26,False,False,True
203,Frau,Projekt,Steiermark,3,8,6,True,29,True,True,False
204,Frau,Übung,Steiermark,7,10,0,True,29,True,True,False
205,Frau,Übung,Wien,8,10,6,False,24,False,False,True
206,Mann,Vorlesung,Wien,2,7,9,True,30,False,True,False
207,Mann,Vorlesung,Steiermark,9,8,7,False,24,False,True,True
208,Frau,Projekt,Kärnten,10,3,6,False,31,True,True,True
209,Frau,Übung,Kärnten,10,10,7,True,27,True,False,False
210,Frau,Übung,Steiermark,8,0,8,False,28,False,False,False
211,Mann,Vorlesung,Wien,9,5,7,False,21,True,False,False
212,Mann,Vorlesung,Steiermark,10,7,5,True,22,False,True,False
213,Frau,Projekt,Wien,3,8,0,True,23,True,True,True
214,Mann,Übung,Wien,7,10,6,True,23,True,True,True
215,Frau,Übung,Steiermark,8,10,1,True,31,True,False,False
216,Frau,Vorlesung,Kärnten,2,7,3,True,24,False,True,True
217,Frau,Vorlesung,Kärnten,10,7,1,True,30,False,True,False
218,Mann,Projekt,Steiermark,3,8,1,False,24,False,True,True
219,Frau,Übung,Steiermark,7,10,6,True,23,True,True,False
220,Frau,Übung,Wien,8,10,7,True,25,True,False,False
221,Mann,Vorlesung,Wien,2,7,5,True,26,False,True,True
222,Mann,Vorlesung,Steiermark,9,8,8,True,25,True,True,False
223,Frau,Übung,Kärnten,10,3,3,True,28,False,True,False
224,Frau,Übung,Kärnten,10,10,8,False,28,False,False,False
225,Frau,Vorlesung,Steiermark,8,0,3,True,23,True,False,False
226,Mann,Vorlesung,Wien,9,5,4,True,30,False,False,False
227,Mann,Projekt,Steiermark,2,7,2,False,23,True,True,False
228,Frau,Projekt,Steiermark,9,8,6,True,23,True,True,False
229,Frau,Übung,Steiermark,10,3,9,True,22,False,True,False
230,Frau,Übung,Wien,10,10,1,True,21,True,False,False
231,Mann,Vorlesung,Kärnten,8,0,6,False,26,False,False,True
232,Mann,Vorlesung,Kärnten,9,5,2,True,28,False,False,False
233,Frau,Projekt,Steiermark,10,7,1,True,30,False,True,False
234,Frau,Übung,Steiermark,3,8,4,True,27,True,True,False
235,Frau,Übung,Wien,7,10,3,False,20,False,True,True
236,Mann,Vorlesung,Wien,8,10,2,False,20,False,False,True
237,Mann,Vorlesung,Wien,3,8,9,False,20,False,True,True
238,Frau,Projekt,Steiermark,7,10,2,True,31,True,True,False
239,Frau,Übung,Kärnten,8,10,4,False,22,False,False,False
240,Frau,Übung,Kärnten,2,7,9,True,30,False,True,False
241,Mann,Vorlesung,Steiermark,9,8,7,False,24,False,True,True
242,Mann,Vorlesung,Wien,10,3,7,True,20,False,True,True
243,Frau,Projekt,Steiermark,10,10,5,True,25,True,False,False
244,Frau,Übung,Steiermark,8,0,5,True,25,True,False,False
245,Frau,Übung,Wien,9,8,1,False,30,False,True,False
246,Mann,Vorlesung,Kärnten,10,3,2,False,27,True,True,True
247,Mann,Vorlesung,Kärnten,10,10,1,True,21,True,False,False
248,Frau,Projekt,Steiermark,8,0,7,True,27,True,False,False
249,Frau,Übung,Steiermark,9,5,9,False,23,True,False,False
250,Frau,Übung,Wien,2,7,10,False,31,True,True,True
251,Mann,Vorlesung,Wien,9,8,8,True,25,True,True,True
252,Mann,Vorlesung,Steiermark,10,3,4,False,29,True,True,False
253,Frau,Projekt,Kärnten,10,10,9,True,29,True,False,False
254,Frau,Übung,Kärnten,8,0,0,False,20,False,False,True
255,Frau,Übung,Steiermark,9,5,1,False,27,True,False,False
256,Mann,Vorlesung,Wien,10,7,9,True,26,False,True,True
257,Frau,Vorlesung,Wien,3,8,8,True,31,True,True,True
258,Frau,Projekt,Steiermark,7,10,7,False,24,False,True,True
259,Frau,Übung,Kärnten,8,10,4,False,22,False,False,False
260,Mann,Übung,Kärnten,3,8,4,True,27,True,True,True
261,Mann,Vorlesung,Steiermark,7,10,0,True,29,True,True,False
262,Mann,Vorlesung,Wien,8,10,4,False,22,False,False,False
263,Frau,Projekt,Steiermark,9,5,4,True,30,False,False,False
264,Frau,Übung,Steiermark,10,7,1,True,30,False,True,False
265,Frau,Übung,Wien,3,8,4,True,27,True,True,True
266,Mann,Vorlesung,Wien,7,10,6,True,23,True,True,True
267,Mann,Vorlesung,Steiermark,8,10,10,False,28,False,False,False
268,Frau,Projekt,Kärnten,3,8,4,True,27,True,True,True
269,Frau,Übung,Kärnten,7,10,6,True,23,True,True,True
270,Frau,Übung,Wien,8,10,8,False,26,False,False,True
271,Mann,Vorlesung,Wien,2,7,9,True,30,False,True,False
272,Mann,Vorlesung,Steiermark,9,8,4,True,21,True,True,False
273,Frau,Übung,Kärnten,10,3,7,True,20,False,True,True
274,Frau,Übung,Kärnten,10,10,1,True,21,True,False,False
275,Frau,Vorlesung,Steiermark,8,0,10,False,30,False,False,False
276,Mann,Vorlesung,Wien,9,8,4,True,21,True,True,True
277,Mann,Projekt,Steiermark,10,3,1,True,26,False,True,True
278,Frau,Projekt,Steiermark,10,10,8,False,28,False,False,False
279,Frau,Übung,Steiermark,8,0,2,False,22,False,False,False
280,Frau,Übung,Wien,9,5,5,False,31,True,False,False
281,Mann,Vorlesung,Wien,2,7,10,False,31,True,True,True
282,Mann,Vorlesung,Steiermark,9,8,10,True,27,True,True,False
283,Frau,Projekt,Kärnten,10,3,8,False,21,True,True,True
284,Frau,Übung,Kärnten,10,10,5,True,25,True,False,False
285,Frau,Übung,Steiermark,8,0,5,True,25,True,False,False
286,Mann,Vorlesung,Wien,9,5,6,True,20,False,False,True
287,Mann,Vorlesung,Steiermark,10,7,5,True,22,False,True,False
288,Mann,Projekt,Steiermark,3,8,8,True,31,True,True,False
289,Frau,Übung,Steiermark,7,10,7,False,24,False,True,True
290,Frau,Übung,Wien,8,10,2,False,20,False,False,True
291,Frau,Vorlesung,Kärnten,3,8,2,True,25,True,True,True
292,Mann,Vorlesung,Kärnten,7,10,2,True,31,True,True,True
293,Frau,Projekt,Steiermark,8,10,7,True,25,True,False,False
294,Frau,Übung,Steiermark,10,10,8,False,28,False,False,False
295,Frau,Übung,Wien,8,0,9,True,29,True,False,False
296,Mann,Vorlesung,Wien,9,5,5,False,31,True,False,False
297,Mann,Vorlesung,Wien,10,7,6,False,23,True,True,True
298,Frau,Übung,Wien,3,8,4,True,27,True,True,True
299,Frau,Übung,Steiermark,7,10,1,False,30,False,True,False
300,Frau,Vorlesung,Kärnten,8,10,4,False,22,False,False,False
301,Mann,Vorlesung,Kärnten,3,8,0,True,23,True,True,True
302,Mann,Projekt,Steiermark,7,10,2,True,31,True,True,False
303,Frau,Projekt,Wien,8,10,5,True,23,True,False,False
304,Frau,Übung,Steiermark,9,5,7,False,21,True,False,False
305,Frau,Übung,Steiermark,10,7,10,False,27,True,True,False
306,Mann,Vorlesung,Kärnten,3,8,4,True,27,True,True,True
307,Mann,Vorlesung,Kärnten,7,10,4,True,21,True,True,True
308,Frau,Projekt,Steiermark,8,10,3,True,21,True,False,False
309,Mann,Übung,Steiermark,3,8,4,True,27,True,True,False
310,Frau,Übung,Wien,7,10,9,False,26,False,True,True
311,Frau,Vorlesung,Wien,8,10,2,False,20,False,False,True
312,Frau,Vorlesung,Steiermark,2,7,1,True,22,False,True,False
313,Mann,Projekt,Kärnten,9,8,2,True,31,True,True,True
314,Frau,Übung,Kärnten,10,3,9,True,22,False,True,False
315,Frau,Übung,Steiermark,10,10,2,False,22,False,False,False
316,Mann,Vorlesung,Wien,8,0,4,False,24,False,False,True
317,Mann,Vorlesung,Steiermark,9,8,9,False,26,False,True,True
318,Frau,Projekt,Steiermark,10,3,0,False,25,True,True,False
319,Frau,Übung,Steiermark,10,10,0,False,20,False,False,True
320,Frau,Übung,Wien,8,0,6,False,26,False,False,True
321,Mann,Vorlesung,Kärnten,9,5,8,True,22,False,False,False
322,Mann,Vorlesung,Kärnten,2,7,7,True,28,False,True,False
323,Frau,Projekt,Steiermark,9,8,3,False,20,False,True,True
324,Frau,Übung,Steiermark,10,3,10,False,23,True,True,False
325,Frau,Übung,Steiermark,10,10,0,False,20,False,False,True
326,Mann,Vorlesung,Wien,8,0,1,True,21,True,False,False
327,Mann,Vorlesung,Wien,9,5,3,False,29,True,False,False
328,Frau,Übung,Steiermark,10,7,7,True,24,False,True,True
329,Frau,Übung,Kärnten,3,8,2,True,25,True,True,True
330,Frau,Vorlesung,Kärnten,7,10,9,False,26,False,True,True
331,Mann,Vorlesung,Steiermark,8,10,1,True,31,True,False,False
332,Mann,Projekt,Steiermark,3,8,10,True,21,True,True,False
333,Frau,Projekt,Steiermark,7,10,0,True,29,True,True,False
334,Frau,Übung,Steiermark,8,10,1,True,31,True,False,False
335,Frau,Übung,Wien,10,10,2,False,22,False,False,False
336,Mann,Vorlesung,Kärnten,8,0,10,False,30,False,False,False
337,Mann,Vorlesung,Steiermark,9,5,10,True,24,False,False,True
338,Frau,Projekt,Wien,10,7,5,True,22,False,True,False
339,Frau,Übung,Wien,3,8,6,True,29,True,True,True
340,Frau,Übung,Steiermark,7,10,4,True,21,True,True,False
341,Mann,Vorlesung,Kärnten,8,10,4,False,22,False,False,False
342,Mann,Vorlesung,Kärnten,3,8,10,True,21,True,True,True
343,Frau,Projekt,Steiermark,7,10,5,False,22,False,True,False
344,Frau,Übung,Kärnten,8,10,1,True,31,True,False,False
345,Frau,Übung,Steiermark,6,9,9,True,24,False,True,True
346,Mann,Vorlesung,Wien,7,10,1,False,30,False,True,False
347,Mann,Vorlesung,Steiermark,6,10,8,False,24,False,False,True
348,Frau,Projekt,Steiermark,5,4,2,True,23,True,True,False
349,Frau,Übung,Steiermark,8,8,8,False,24,False,False,True
350,Frau,Übung,Steiermark,9,5,5,False,31,True,False,False
351,Mann,Vorlesung,Wien,10,7,1,True,30,False,True,False
352,Mann,Vorlesung,Wien,3,8,8,True,31,True,True,True
353,Frau,Projekt,Steiermark,7,10,5,False,22,False,True,False
354,Mann,Übung,Kärnten,8,10,8,False,26,False,False,True
355,Frau,Übung,Kärnten,2,7,7,True,28,False,True,False
356,Frau,Vorlesung,Steiermark,9,8,4,True,21,True,True,False
357,Frau,Vorlesung,Steiermark,10,3,3,True,28,False,True,False
358,Mann,Projekt,Kärnten,10,10,1,True,21,True,False,False
359,Frau,Übung,Kärnten,8,0,9,True,29,True,False,False
360,Frau,Übung,Steiermark,9,5,9,False,23,True,False,False
361,Mann,Vorlesung,Wien,10,7,3,True,20,False,True,True
362,Mann,Vorlesung,Steiermark,3,8,1,False,24,False,True,True
363,Frau,Projekt,Steiermark,7,10,0,True,29,True,True,False
364,Frau,Übung,Steiermark,8,10,4,False,22,False,False,False
365,Frau,Übung,Wien,2,7,3,True,24,False,True,True
366,Mann,Vorlesung,Kärnten,10,7,1,True,30,False,True,False
367,Mann,Vorlesung,Kärnten,3,8,4,True,27,True,True,True
368,Frau,Projekt,Steiermark,7,10,8,True,25,True,True,False
369,Frau,Übung,Steiermark,8,10,9,True,27,True,False,False
370,Frau,Übung,Wien,2,7,6,False,27,True,True,True
371,Mann,Vorlesung,Wien,9,8,9,False,26,False,True,True
372,Mann,Vorlesung,Steiermark,10,3,8,False,21,True,True,False
373,Frau,Projekt,Kärnten,10,10,9,True,29,True,False,False
374,Frau,Übung,Kärnten,8,0,0,False,20,False,False,True
375,Frau,Übung,Steiermark,9,5,9,False,23,True,False,False
376,Mann,Übung,Wien,10,7,1,True,30,False,True,False
377,Mann,Übung,Steiermark,3,8,7,False,30,False,True,False
378,Frau,Vorlesung,Steiermark,7,10,7,False,24,False,True,True
379,Frau,Vorlesung,Steiermark,8,10,7,True,25,True,False,False
380,Frau,Projekt,Wien,3,8,1,False,24,False,True,True
381,Mann,Vorlesung,Steiermark,7,10,9,False,26,False,True,True
382,Mann,Vorlesung,Wien,8,10,9,True,27,True,False,False
383,Frau,Projekt,Wien,2,7,4,False,25,True,True,True
384,Frau,Übung,Steiermark,9,8,6,True,23,True,True,False
385,Frau,Übung,Kärnten,10,3,3,True,28,False,True,False
386,Mann,Vorlesung,Kärnten,10,10,7,True,27,True,False,False
387,Frau,Vorlesung,Steiermark,8,0,9,True,29,True,False,False
388,Frau,Projekt,Kärnten,9,5,3,False,29,True,False,False
389,Frau,Übung,Steiermark,10,7,4,False,21,True,True,False
390,Mann,Übung,Wien,3,8,7,False,30,False,True,False
391,Mann,Vorlesung,Wien,7,10,4,True,21,True,True,True
392,Mann,Vorlesung,Steiermark,8,10,10,False,28,False,False,False
393,Frau,Projekt,Kärnten,2,7,1,True,22,False,True,False
394,Frau,Übung,Kärnten,10,7,6,False,23,True,True,True
395,Frau,Übung,Steiermark,3,8,5,False,28,False,True,False
396,Mann,Vorlesung,Kärnten,7,10,1,False,30,False,True,False
397,Mann,Vorlesung,Kärnten,8,10,1,True,31,True,False,False
398,Frau,Projekt,Steiermark,2,7,1,True,22,False,True,False
399,Frau,Übung,Steiermark,9,8,4,True,21,True,True,False
400,Frau,Übung,Wien,10,3,8,False,21,True,True,True
401,Mann,Vorlesung,Wien,10,10,6,False,26,False,False,True
402,Mann,Vorlesung,Steiermark,8,0,2,False,22,False,False,False
403,Frau,Projekt,Kärnten,9,5,5,False,31,True,False,False
404,Frau,Übung,Kärnten,2,7,8,False,29,True,True,True
405,Frau,Übung,Steiermark,9,8,3,False,20,False,True,True
406,Mann,Vorlesung,Wien,10,3,4,False,29,True,True,True
407,Mann,Vorlesung,Steiermark,10,10,7,True,27,True,False,False
408,Frau,Projekt,Wien,8,0,4,False,24,False,False,True
409,Frau,Übung,Wien,9,5,4,True,30,False,False,False
410,Frau,Übung,Steiermark,10,7,7,True,24,False,True,True
411,Mann,Vorlesung,Kärnten,3,8,7,False,30,False,True,False
412,Mann,Vorlesung,Kärnten,7,10,10,True,27,True,True,True
413,Frau,Projekt,Steiermark,8,10,6,False,24,False,False,True
414,Frau,Übung,Steiermark,3,8,4,True,27,True,True,False
415,Frau,Übung,Wien,7,10,0,True,29,True,True,True
416,Mann,Übung,Wien,8,10,0,False,30,False,False,False
417,Mann,Übung,Steiermark,2,7,1,True,22,False,True,False
418,Frau,Vorlesung,Kärnten,9,8,1,False,30,False,True,False
419,Frau,Vorlesung,Kärnten,10,3,8,False,21,True,True,True
420,Frau,Projekt,Steiermark,10,10,3,True,23,True,False,False
